question_id,model,model_params,setting,n_claims,n_supported,n_inferred,n_unverifiable,hallucination_rate
question_id,model,model_params,setting,n_claims,n_supported,n_inferred,n_unverifiable,hallucination_rate
question_id,model,model_params,setting,n_claims,n_supported,n_inferred,n_unverifiable,hallucination_rate
1479,qwen/qwen3-vl-8b-instruct,8.0,closed,3,0,2,1,0.333333
1479,qwen/qwen3-vl-8b-instruct,8.0,grounded,1,0,0,1,1.0
3274,qwen/qwen3-vl-8b-instruct,8.0,closed,3,0,0,3,1.0
3274,qwen/qwen3-vl-8b-instruct,8.0,grounded,1,0,1,0,0.0
4412,qwen/qwen3-vl-8b-instruct,8.0,closed,3,0,0,3,1.0
4412,qwen/qwen3-vl-8b-instruct,8.0,grounded,2,1,1,0,0.0
631,qwen/qwen3-vl-8b-instruct,8.0,closed,3,0,0,3,1.0
631,qwen/qwen3-vl-8b-instruct,8.0,grounded,2,1,1,0,0.0
2600,qwen/qwen3-vl-8b-instruct,8.0,closed,1,1,0,0,0.0
2600,qwen/qwen3-vl-8b-instruct,8.0,grounded,1,0,0,1,1.0
2191,qwen/qwen3-vl-8b-instruct,8.0,closed,5,0,0,5,1.0
2191,qwen/qwen3-vl-8b-instruct,8.0,grounded,3,1,2,0,0.0
594,qwen/qwen3-vl-8b-instruct,8.0,closed,5,0,0,5,1.0
594,qwen/qwen3-vl-8b-instruct,8.0,grounded,3,1,2,0,0.0
2829,qwen/qwen3-vl-8b-instruct,8.0,closed,3,0,0,3,1.0
2829,qwen/qwen3-vl-8b-instruct,8.0,grounded,3,0,0,3,1.0
909,qwen/qwen3-vl-8b-instruct,8.0,closed,3,0,0,3,1.0
909,qwen/qwen3-vl-8b-instruct,8.0,grounded,3,1,0,2,0.666667
1634,qwen/qwen3-vl-8b-instruct,8.0,closed,7,0,3,4,0.571429
1634,qwen/qwen3-vl-8b-instruct,8.0,grounded,1,1,0,0,0.0
